#              Col 1             Col 2            Col 3            Col 4            Col 5            Col 6            Col 7               Col 8            Col 9           Col 10           Col 11           Col 12           Col 13
#          time [JD]     r_I_ECI  [km]    r_J_ECI  [km]    r_K_ECI  [km]  v_I_ECI  [km/s]  v_J_ECI  [km/s]  v_K_ECI  [km/s]       r_I_ECEF [km]    r_J_ECEF [km]    r_K_ECEF [km]  v_I_ECEF [km/s]  v_J_ECEF [km/s]  v_K_ECEF [km/s]
 2456753.81498842593       2038.756388     -5241.204773      3004.021941         0.382186         0.148361        -0.000530         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000        -0.000000
 2456753.81568287034       2061.667980     -5232.252953      3003.990194         0.381533         0.150032        -0.000529         5390.281167     -1597.890835      3007.077772         0.000000         0.000000        -0.000000
 2456753.81637731474       2084.540187     -5223.200974      3003.958505         0.380873         0.151700        -0.000528         5390.281167     -1597.890835      3007.077772         0.000000         0.000000        -0.000000
 2456753.81707175961       2107.372585     -5214.049004      3003.926876         0.380205         0.153365        -0.000527         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000        -0.000000
 2456753.81776620401       2130.164708     -5204.797230      3003.895308         0.379531         0.155027        -0.000526         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000         0.000000
 2456753.81846064841       2152.916133     -5195.445824      3003.863800         0.378849         0.156686        -0.000525         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000         0.000000
 2456753.81915509282       2175.626426     -5185.994963      3003.832354         0.378160         0.158342        -0.000524         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000         0.000000
 2456753.81984953722       2198.295152     -5176.444829      3003.800970         0.377463         0.159995        -0.000523         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000         0.000000
 2456753.82054398162       2220.921876     -5166.795605      3003.769649         0.376760         0.161645        -0.000521         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.82123842603       2243.506166     -5157.047476      3003.738391         0.376049         0.163292        -0.000520         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000        -0.000000
 2456753.82193287043       2266.047589     -5147.200628      3003.707198         0.375331         0.164936        -0.000519         5390.281167     -1597.890835      3007.077772         0.000000         0.000000         0.000000
 2456753.82262731483       2288.545715     -5137.255250      3003.676068         0.374606         0.166576        -0.000518         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.82332175924       2311.000111     -5127.211531      3003.645004         0.373873         0.168214        -0.000517         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.82401620364       2333.410349     -5117.069665      3003.614006         0.373134         0.169848        -0.000516         5390.281167     -1597.890835      3007.077772         0.000000         0.000000         0.000000
 2456753.82471064804       2355.775999     -5106.829846      3003.583074         0.372387         0.171479        -0.000515         5390.281167     -1597.890835      3007.077772         0.000000         0.000000         0.000000
 2456753.82540509291       2378.096648     -5096.492262      3003.552209         0.371633         0.173107        -0.000514         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000         0.000000
 2456753.82609953731       2400.371824     -5086.057132      3003.521411         0.370872         0.174731        -0.000513         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000        -0.000000
 2456753.82679398172       2422.601145     -5075.524636      3003.490681         0.370104         0.176352        -0.000512         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.82748842612       2444.784172     -5064.894981      3003.460021         0.369329         0.177969        -0.000510         5390.281167     -1597.890835      3007.077772         0.000000         0.000000        -0.000000
 2456753.82818287052       2466.920478     -5054.168372      3003.429429         0.368547         0.179584        -0.000509         5390.281167     -1597.890835      3007.077772         0.000000         0.000000        -0.000000
 2456753.82887731493       2489.009641     -5043.345013      3003.398907         0.367758         0.181194        -0.000508         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000        -0.000000
 2456753.82957175933       2511.051238     -5032.425112      3003.368456         0.366961         0.182802        -0.000507         5390.281167     -1597.890835      3007.077772         0.000000         0.000000         0.000000
 2456753.83026620373       2533.044847     -5021.408878      3003.338076         0.366158         0.184406        -0.000506         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000         0.000000
 2456753.83096064813       2554.990046     -5010.296521      3003.307767         0.365348         0.186006        -0.000505         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000         0.000000
 2456753.83165509254       2576.886416     -4999.088255      3003.277531         0.364530         0.187603        -0.000503         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000         0.000000
 2456753.83234953694       2598.733537     -4987.784294      3003.247367         0.363706         0.189196        -0.000502         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000         0.000000
 2456753.83304398181       2620.531007     -4976.384847      3003.217277         0.362875         0.190785        -0.000501         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000        -0.000000
 2456753.83373842621       2642.278377     -4964.890147      3003.187260         0.362037         0.192371        -0.000500         5390.281167     -1597.890835      3007.077772         0.000000         0.000000         0.000000
 2456753.83443287062       2663.975247     -4953.300406      3003.157319         0.361191         0.193953        -0.000498         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000         0.000000
 2456753.83512731502       2685.621202     -4941.615847      3003.127452         0.360339         0.195532        -0.000497         5390.281167     -1597.890835      3007.077772         0.000000         0.000000        -0.000000
 2456753.83582175942       2707.215826     -4929.836693      3003.097661         0.359480         0.197106        -0.000496         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000         0.000000
 2456753.83651620382       2728.758707     -4917.963170      3003.067946         0.358615         0.198677        -0.000495         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000         0.000000
 2456753.83721064823       2750.249433     -4905.995505      3003.038307         0.357742         0.200244        -0.000493         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000         0.000000
 2456753.83790509263       2771.687590     -4893.933927      3003.008747         0.356862         0.201808        -0.000492         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000         0.000000
 2456753.83859953703       2793.072771     -4881.778667      3002.979264         0.355976         0.203367        -0.000491         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000         0.000000
 2456753.83929398144       2814.404564     -4869.529957      3002.949859         0.355083         0.204923        -0.000489         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.83998842584       2835.682562     -4857.188033      3002.920534         0.354183         0.206474        -0.000488         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.84068287071       2856.906372     -4844.753121      3002.891288         0.353276         0.208022        -0.000487         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
