#              Col 1             Col 2            Col 3            Col 4            Col 5            Col 6            Col 7               Col 8            Col 9           Col 10           Col 11           Col 12           Col 13
#          time [JD]     r_I_ECI  [km]    r_J_ECI  [km]    r_K_ECI  [km]  v_I_ECI  [km/s]  v_J_ECI  [km/s]  v_K_ECI  [km/s]       r_I_ECEF [km]    r_J_ECEF [km]    r_K_ECEF [km]  v_I_ECEF [km/s]  v_J_ECEF [km/s]  v_K_ECEF [km/s]
 2456753.80457175942      41505.390287     -7379.002162      -691.245340         0.537772         3.027430         0.018254        29310.271380     30300.701974      -632.745958        -0.000806         0.000132         0.018888
 2456753.80526620382      41537.259178     -7197.286289      -690.143478         0.524522         3.029756         0.018475        29310.222979     30300.710058      -631.606612        -0.000807         0.000137         0.019090
 2456753.80596064823      41568.332761     -7015.432611      -689.028401         0.511262         3.032024         0.018695        29310.174536     30300.718446      -630.455171        -0.000808         0.000142         0.019291
 2456753.80665509263      41598.610439     -6833.444611      -687.900132         0.497992         3.034234         0.018914        29310.126053     30300.727138      -629.291657        -0.000808         0.000147         0.019492
 2456753.80734953703      41628.091629     -6651.325772      -686.758691         0.484713         3.036385         0.019134        29310.077530     30300.736130      -628.116093        -0.000809         0.000152         0.019693
 2456753.80804398144      41656.775764     -6469.079582      -685.604101         0.471424         3.038479         0.019353        29310.028969     30300.745423      -626.928501        -0.000809         0.000157         0.019893
 2456753.80873842584      41684.662293     -6286.709529      -684.436382         0.458126         3.040514         0.019571        29309.980369     30300.755014      -625.728903        -0.000810         0.000162         0.020093
 2456753.80943287071      41711.750697     -6104.218981      -683.255558         0.444819         3.042491         0.019789        29309.931732     30300.764903      -624.517323        -0.000811         0.000167         0.020293
 2456753.81012731511      41738.040418     -5921.611679      -682.061651         0.431504         3.044410         0.020007        29309.883059     30300.775086      -623.293784        -0.000811         0.000172         0.020492
 2456753.81082175951      41763.530969     -5738.890994      -680.854685         0.418180         3.046270         0.020225        29309.834349     30300.785564      -622.058309        -0.000812         0.000177         0.020690
 2456753.81151620392      41788.221859     -5556.060426      -679.634681         0.404848         3.048073         0.020442        29309.785605     30300.796335      -620.810921        -0.000813         0.000182         0.020889
 2456753.81221064832      41812.112614     -5373.123475      -678.401663         0.391509         3.049816         0.020659        29309.736826     30300.807396      -619.551645        -0.000813         0.000187         0.021087
 2456753.81290509272      41835.202772     -5190.083643      -677.155655         0.378162         3.051502         0.020875        29309.688014     30300.818748      -618.280505        -0.000814         0.000191         0.021284
 2456753.81359953713      41857.491890     -5006.944434      -675.896681         0.364808         3.053129         0.021091        29309.639168     30300.830387      -616.997524        -0.000814         0.000196         0.021481
 2456753.81429398153      41878.979539     -4823.709356      -674.624764         0.351446         3.054698         0.021306        29309.590291     30300.842313      -615.702728        -0.000815         0.000201         0.021678
 2456753.81498842593      41899.665303     -4640.381915      -673.339929         0.338078         3.056208         0.021521        29309.541382     30300.854524      -614.396140        -0.000815         0.000206         0.021874
 2456753.81568287034      41919.548785     -4456.965622      -672.042200         0.324704         3.057659         0.021736        29309.492442     30300.867018      -613.077786        -0.000816         0.000210         0.022070
 2456753.81637731474      41938.629601     -4273.463989      -670.731603         0.311323         3.059052         0.021950        29309.443471     30300.879795      -611.747692        -0.000816         0.000215         0.022266
 2456753.81707175961      41956.907396     -4089.880405      -669.408160         0.297936         3.060387         0.022164        29309.394471     30300.892852      -610.405880        -0.000817         0.000220         0.022461
